"","Dose","Drug","TI.Dur","Circling","Ventilatory","TF","Thigmotaxis","Locomotor","Freezing"
"1","0","FGIN-1-27",1.265693,42.40618,104.7094,5.570271,5.293721,20.75097,51.98597
"2","0","FGIN-1-27",1.49803,48.19434,105.5666,5.488313,6.037879,24.3378,47.88348
"3","0","FGIN-1-27",1.911527,63.94927,100.0743,5.218212,5.25602,21.28352,45.56174
"4","0","FGIN-1-27",1.450278,45.82074,103.9598,5.028955,4.480003,19.98077,50.5072
"5","0","FGIN-1-27",1.579937,66.46028,114.0857,5.304091,5.072677,21.79663,51.08801
"6","0","FGIN-1-27",1.393117,46.83051,87.93365,5.412986,5.476067,19.84082,46.07864
"7","0","FGIN-1-27",1.676382,56.48518,105.1041,5.63553,4.974459,20.30039,67.87775
"8","0","FGIN-1-27",1.530943,52.55449,97.13336,4.871753,4.864063,23.40163,73.09491
"9","0","FGIN-1-27",1.742999,56.08349,102.7167,5.300494,5.906366,20.76456,60.77703
"10","0","FGIN-1-27",1.438659,61.59863,118.7243,5.930323,5.997897,23.89041,64.06355
"11","0.14","FGIN-1-27",0.9502193,34.36215,75.88729,10.33737,5.616868,20.92262,37.1226
"12","0.14","FGIN-1-27",0.7334182,25.17558,55.2455,9.766049,5.772389,23.17834,31.78756
"13","0.14","FGIN-1-27",1.01172,37.81515,70.16324,10.46718,5.247753,23.11367,27.63879
"14","0.14","FGIN-1-27",0.973713,34.21438,75.49249,9.040099,4.773315,23.01241,32.99472
"15","0.14","FGIN-1-27",1.074034,33.64127,63.76712,9.697005,4.84386,20.79446,27.03387
"16","0.14","FGIN-1-27",0.9231281,31.17444,56.13142,9.707205,5.412263,23.19448,32.08847
"17","0.14","FGIN-1-27",1.065686,33.24736,77.04416,10.86181,5.140719,20.61333,33.16962
"18","0.14","FGIN-1-27",1.150426,29.99651,53.74203,10.41097,4.717541,20.30365,32.44896
"19","0.14","FGIN-1-27",1.249725,22.17445,69.25,9.916446,5.733663,17.51596,30.0931
"20","0.14","FGIN-1-27",1.050803,37.69859,64.8633,9.633841,5.510975,24.42378,21.61011
"21","0.28","FGIN-1-27",0.8066855,34.32282,44.71485,15.73429,13.50087,20.26948,28.63127
"22","0.28","FGIN-1-27",0.7555205,33.18141,47.45447,14.6265,10.271,18.16938,24.47494
"23","0.28","FGIN-1-27",0.8894479,24.3148,50.63486,13.75433,8.985876,20.34586,29.047
"24","0.28","FGIN-1-27",0.7987315,37.38039,43.0003,13.59693,12.33232,18.44437,28.17863
"25","0.28","FGIN-1-27",0.8523107,37.25458,46.25357,15.79186,10.80875,19.02065,28.92044
"26","0.28","FGIN-1-27",0.9646391,22.39518,47.28749,15.07641,10.73026,20.51238,33.87018
"27","0.28","FGIN-1-27",0.6564331,24.97674,42.67074,13.35464,10.46831,20.111,34.27986
"28","0.28","FGIN-1-27",0.7526278,34.88728,46.47441,14.91002,9.653492,16.31069,31.35354
"29","0.28","FGIN-1-27",0.7680001,35.63216,48.33785,14.79701,10.28455,16.63601,39.10695
"30","0.28","FGIN-1-27",0.814016,31.03764,40.87722,11.23534,9.282702,19.48862,36.06068
"31","0.57","FGIN-1-27",0.584114,25.17327,25.0345,26.58364,15.4434,23.49169,28.09538
"32","0.57","FGIN-1-27",0.669355,24.63404,21.9562,27.86281,15.72786,20.87122,19.4656
"33","0.57","FGIN-1-27",0.5146134,21.09274,27.23723,25.53085,16.97384,28.54385,23.84975
"34","0.57","FGIN-1-27",0.5560078,20.63093,28.75541,23.38422,22.28708,22.90972,27.89693
"35","0.57","FGIN-1-27",0.6910405,21.72252,21.71767,27.34316,14.21766,21.55855,20.8935
"36","0.57","FGIN-1-27",0.7287495,20.87227,24.08349,23.1575,16.88437,21.88665,20.06488
"37","0.57","FGIN-1-27",0.555802,22.55788,22.78755,22.73433,20.15136,23.18688,23.07128
"38","0.57","FGIN-1-27",0.5326737,21.80563,25.39013,25.02054,18.26676,19.82854,23.84838
"39","0.57","FGIN-1-27",0.5707406,26.95285,25.66167,24.97265,17.2961,25.37347,24.35549
