"","Drug","Dose","TW","Risk.assessment","Thigmotaxis","Freezing","Erratic","Crossings"
"1","Diazepam","0",25,14.40081,17.21347,12.15436,7.381652,7
"2","Diazepam","0",15.77778,10.73859,14.02059,17.70401,8.192989,1
"3","Diazepam","0",22.11111,13.32848,17.28639,9.402287,7.884481,7
"4","Diazepam","0",21.44444,14.94061,15.94526,11.29047,8.173053,24
"5","Diazepam","0",13.77778,13.60218,12.96694,10.89002,6.85604,14
"6","Diazepam","0",25,14.47751,15.19526,13.87461,7.815118,7
"7","Diazepam","0",12.44444,14.01104,12.45139,10.06083,6.188684,7
"8","Diazepam","0",15.77778,10.09172,13.15327,5.981433,7.765485,22
"9","Diazepam","0",25,14.52119,8.472813,8.945286,7.691383,14
"10","Diazepam","0",15.77778,14.81268,9.948555,14.14574,7.417175,15
"11","Diazepam","0.14",35.02604,6.086576,13.0611,8.626344,6.794234,7
"12","Diazepam","0.14",34.44921,6.660678,12.87706,8.678749,6.75274,25
"13","Diazepam","0.14",33.27438,7.637051,13.76511,7.332163,7.338207,4
"14","Diazepam","0.14",33.13437,6.900988,12.09554,7.807129,6.71873,1
"15","Diazepam","0.14",30.74426,6.033968,12.99259,8.620394,7.718623,24
"16","Diazepam","0.14",33.30473,5.520842,15.43867,8.866018,7.254082,22
"17","Diazepam","0.14",35.96583,6.82819,13.89511,6.802413,6.948671,19.94064
"18","Diazepam","0.14",31.03898,7.356726,13.27562,7.591504,5.896176,20.95404
"19","Diazepam","0.14",29.64573,7.655582,11.52069,8.040806,8.446958,25.60564
"20","Diazepam","0.14",32.95086,7.553854,13.37829,8.651469,7.036036,31.41755
"21","Diazepam","0.28",34.44921,5.902458,12.49544,7.509743,7.793039,22.30607
"22","Diazepam","0.28",33.27438,6.21269,8.863146,6.359711,7.451584,26.22289
"23","Diazepam","0.28",33.13437,5.0869,10.06549,6.616356,6.604617,24.09728
"24","Diazepam","0.28",30.74426,5.532186,8.989695,7.156581,7.765515,22.54722
"25","Diazepam","0.28",33.30473,5.653282,10.66896,6.219819,8.181704,21.54446
"26","Diazepam","0.28",35.96583,6.181391,8.497221,7.579508,8.218183,20.91042
"27","Diazepam","0.28",31.03898,6.653403,10.9204,5.968606,9.243596,28.95981
"28","Diazepam","0.28",29.64573,6.696104,10.45316,6.456094,7.550526,21.50581
"29","Diazepam","0.28",32.95086,6.061944,11.32846,7.525048,8.225787,22.10872
"30","Diazepam","0.57",34.66901,6.737508,9.959225,6.848631,7.52619,24.16273
"31","Diazepam","0.57",35.88037,2.953991,5.113794,6.133993,7.528354,26.16311
"32","Diazepam","0.57",34.06147,3.292199,5.733897,6.081429,6.892461,29.56377
"33","Diazepam","0.57",33.1966,3.03705,4.250468,5.537554,6.763857,24.46715
