,"Drug","Dose","TW","Risk.assessment","Thigmotaxis","Freezing","Erratic","Crossings"
"1","Diazepam","0","25.29163",14,"17.21347","12.15436",7,7
"2","Diazepam","0","15.77778",11,"14.02059","17.70401",8,1
"3","Diazepam","0","22.11111",13,"17.28639","9.402287",8,7
"4","Diazepam","0","21.44444",15,"15.94526","11.29047",8,24
"5","Diazepam","0","13.77778",14,"12.96694","10.89002",7,14
"6","Diazepam","0","25.19292",14,"15.19526","13.87461",8,7
"7","Diazepam","0","12.44444",14,"12.45139","10.06083",6,7
"8","Diazepam","0","15.77778",10,"13.15327","5.981433",8,22
"9","Diazepam","0","25.41342",15,"8.472813","8.945286",8,14
"10","Diazepam","0","15.77778",15,"9.948555","14.14574",7,15
"11","Diazepam","0.14","35.02604",6,"13.0611","8.626344",7,7
"12","Diazepam","0.14","34.44921",7,"12.87706","8.678749",7,25
"13","Diazepam","0.14","33.27438",8,"13.76511","7.332163",7,4
"14","Diazepam","0.14","33.13437",7,"12.09554","7.807129",7,1
"15","Diazepam","0.14","30.74426",6,"12.99259","8.620394",8,24
"16","Diazepam","0.14","33.30473",6,"15.43867","8.866018",7,22
"17","Diazepam","0.14","35.96583",7,"13.89511","6.802413",7,20
"18","Diazepam","0.14","31.03898",7,"13.27562","7.591504",6,21
"19","Diazepam","0.14","29.64573",8,"11.52069","8.040806",8,26
"20","Diazepam","0.14","32.95086",8,"13.37829","8.651469",7,31
"21","Diazepam","0.28","34.44921",6,"12.49544","7.509743",8,22
"22","Diazepam","0.28","33.27438",6,"8.863146","6.359711",7,26
"23","Diazepam","0.28","33.13437",5,"10.06549","6.616356",7,24
"24","Diazepam","0.28","30.74426",6,"8.989695","7.156581",8,23
"25","Diazepam","0.28","33.30473",6,"10.66896","6.219819",8,22
"26","Diazepam","0.28","35.96583",6,"8.497221","7.579508",8,21
"27","Diazepam","0.28","31.03898",7,"10.9204","5.968606",9,29
"28","Diazepam","0.28","29.64573",7,"10.45316","6.456094",8,22
"29","Diazepam","0.28","32.95086",6,"11.32846","7.525048",8,22
"30","Diazepam","0.57","34.66901",7,"9.959225","6.848631",8,24
"31","Diazepam","0.57","35.88037",3,"5.113794","6.133993",8,26
"32","Diazepam","0.57","34.06147",3,"5.733897","6.081429",7,30
"33","Diazepam","0.57","33.1966",3,"4.250468","5.537554",7,24
"34","Diazepam","0.57","26.15377",3,"5.008008","6.32234",8,26
"35","Diazepam","0.57","40.04384",2,"5.279047","6.310736",6,29
"36","Diazepam","0.57","30.20872",3,"5.276627","5.198624",7,31
"37","Diazepam","0.57","30.76244",3,"4.81951","5.348336",8,21
"38","Diazepam","0.57","35.47944",3,"5.973179","6.968658",7,25
"39","Diazepam","0.57","37.54947",3,"4.881773","5.595687",7,25
"40","Diazepam","1.1","38.25",3,"4.532821","5.751411",7,31
"41","Diazepam","1.1","24.14",4,"1.242486","2.278024",7,1
"42","Diazepam","1.1","33.83",5,"7.474541","1.348913",6,9
"43","Diazepam","1.1","32.80999",1,"4.857235","6.335152",6,32
"44","Diazepam","1.1","21.08",2,"3.926638","0",6,19
"45","Diazepam","1.1","38.25",6,"3.938729","1.606157",7,9
"46","Diazepam","1.1","19.03999",5,"5.609146","0",7,9
"47","Diazepam","1.1","24.14",4,"5.48693","5.260495",6,30
"48","Diazepam","1.1","38.25",8,"6.088402","4.117316",7,19
"49","Diazepam","1.1","24.14",3,"6.295226","2.191887",7,20
"50","Diazepam","2.3","33.75",4,"2.745365","2.715617",6,9
"51","Diazepam","2.3","21.3",2,"6.872809","3.544218",7,1
"52","Diazepam","2.3","29.85",6,"1.276244","2.885948",7,9
"53","Diazepam","2.3","28.94999",6,"2.260371","2.647306",7,31
"54","Diazepam","2.3","18.6",7,"7.433098","2.419226",7,18
"55","Diazepam","2.3","33.75",6,"3.914739","3.982047",7,9
"56","Diazepam","2.3","16.79999",6,"4.192517","3.054745",6,9
"57","Diazepam","2.3","21.3",6,"1.10967","2.727705",7,29
"58","Diazepam","2.3","33.75",7,"1.812782","3.003111",7,18
"59","Diazepam","2.3","21.3",9,"5.636318","2.13912",8,20
"60","FGIN-1-27","0","20.73386",10,"10.11635","12.3154",8,31
"61","FGIN-1-27","0","23.81403",18,"17.81101","10.36366",7,1
"62","FGIN-1-27","0","23.77673",18,"18.02562","12.7282",9,9
"63","FGIN-1-27","0","21.42779",17,"16.6387","13.8161",6,32
"64","FGIN-1-27","0","25.21963",19,"18.94585","9.976186",6,19
"65","FGIN-1-27","0","22.40096",17,"17.33552","12.3292",7,9
"66","FGIN-1-27","0","21.15333",16,"16.23361","15.1207",6,9
"67","FGIN-1-27","0","20.98661",16,"15.74883","11.79282",6,30
"68","FGIN-1-27","0","25.65657",13,"12.90025","10.29074",8,19
"69","FGIN-1-27","0","27.96206",15,"14.65477","14.63791",9,20
"70","FGIN-1-27","0.14","33.75761",6,"9.927436","11.51828",8,20
"71","FGIN-1-27","0.14","31.1432",7,"9.266129","10.72633",10,17
"72","FGIN-1-27","0.14","39.91503",6,"10.88802","10.08097",8,17
"73","FGIN-1-27","0.14","37.0646",7,"11.96111","11.12704",9,17
"74","FGIN-1-27","0.14","26.90523",5,"10.44857","8.287702",7,17
"75","FGIN-1-27","0.14","37.74495",5,"9.731368","11.21365",7,15
"76","FGIN-1-27","0.14","45.02631",5,"8.695222","13.5556",8,17
"77","FGIN-1-27","0.14","34.95527",6,"9.508996","8.922279",6,16
"78","FGIN-1-27","0.14","35.1272",7,"8.836041","9.848941",9,18
"79","FGIN-1-27","0.14","44.88828",6,"12.23251","11.37745",13,16
"80","FGIN-1-27","0.28","37.17019",5,"8.272662","8.533692",10,19
"81","FGIN-1-27","0.28","40.10251",5,"10.62641","10.32514",9,16
"82","FGIN-1-27","0.28","35.57177",5,"8.625833","5.668332",9,20
"83","FGIN-1-27","0.28","43.02203",6,"5.610945","9.703637",7,20
"84","FGIN-1-27","0.28","32.59254",4,"9.473852","7.010648",9,18
"85","FGIN-1-27","0.28","41.42942",7,"8.816628","8.406137",12,18
"86","FGIN-1-27","0.28","39.20575",6,"6.102747","7.474692",11,20
"87","FGIN-1-27","0.28","44.23336",6,"8.99873","8.045309",10,17
"88","FGIN-1-27","0.28","38.28223",5,"7.255772","6.347812",7,18
"89","FGIN-1-27","0.28","45.67062",5,"7.205933","6.959813",13,17
"90","FGIN-1-27","0.57","50.30515",3,"9.033467","8.043814",8,22
"91","FGIN-1-27","0.57","40.01644",4,"6.22506","6.563192",7,18
"92","FGIN-1-27","0.57","55.57068",4,"7.13735","8.410917",5,25
"93","FGIN-1-27","0.57","47.17768",4,"7.101583","10.60515",8,23
"94","FGIN-1-27","0.57","35.35333",4,"9.37202","8.858267",5,17
"95","FGIN-1-27","0.57","44.50632",4,"8.647064","6.604819",4,22
"96","FGIN-1-27","0.57","31.0728",4,"8.312884","8.788127",7,19
"97","FGIN-1-27","0.57","45.27444",5,"9.090887","8.41914",7,25
"98","FGIN-1-27","0.57","42.91468",4,"8.828747","8.842577",7,23
"99","FGIN-1-27","0.57","47.1626",5,"6.865439","8.392169",7,23
"100","FGIN-1-27","1.1","51.36243",2,"7.391991","6.443985",5,17
"101","FGIN-1-27","1.1","46.18357",2,"6.33812","8.394172",4,16
"102","FGIN-1-27","1.1","44.99472",2,"7.916315","8.66779",5,17
"103","FGIN-1-27","1.1","45.41869",2,"8.12853","4.816917",6,18
"104","FGIN-1-27","1.1","50.61484",1,"5.465373","8.74076",5,17
"105","FGIN-1-27","1.1","37.85341",2,"9.451262","7.12588",5,17
"106","FGIN-1-27","1.1","54.50027",2,"7.371997","5.821401",4,15
"107","FGIN-1-27","1.1","39.52406",2,"8.072739","5.376261",5,15
"108","FGIN-1-27","1.1","44.3036",2,"8.479797","8.290981",6,17
"109","FGIN-1-27","1.1","50.00529",3,"7.000046","7.24141",5,17
"110","FGIN-1-27","2.3","41.56213",0,"2.878731","8.794909",2,7
"111","FGIN-1-27","2.3","39.7266",0,"3.517695","10.28634",2,8
"112","FGIN-1-27","2.3","43.57045",1,"2.624362","8.711714",2,8
